Term;Stemmed;Variations;Frequency
iterator type;iterator type;iterator type;0
impure function;impure function;impure functions, impure function;0
dynamic;dynamic;dynamic;0
prefix;prefix;prefix;7
function for 2nd;function for 2nd;functions for 2nd, function for 2nd;0
hanging;hanging;hanging;0
loop repeat;loop repeat;loop repeats, loop repeat;0
updatelookupwithkey type;updatelookupwithkey type;updatelookupwithkey type;0
typeerror;typeerror;typeerror;0
conditional operator;conditional operator;conditional operator;0
polymorphic list type;polymorphic list type;polymorphic list types, polymorphic list type;0
swap;swap;swap;0
bracket operator;bracket operator;bracket operator;0
function parameter;function parameter;function parameter;4
derived instance;derived instance;derived instances, derived instance;2
anchored regular expression;anchored regular expression;anchored regular expressions, anchored regular expression;0
decoding barcode;decoding barcode;decoding barcodes, decoding barcode;0
handler class;handler class;handler class;0
prepare function;prepare function;prepare function;0
diffarray type;diffarray type;diffarray type;0
product type;product type;product types, product type;0
function equality;function equality;function equality;0
ST (state thread) monad;st ( state thread ) monad;ST (state thread) monad;0
encapsulate;encapsulate;encapsulate;3
runparse function;runparse function;runparse function;0
high-order;high-order;high-order;0
vs. space;vs. space;vs. spaces, vs. space;0
p5 (raw) netpbm image format;p5 ( raw ) netpbm image format;p5 (raw) netpbm image format;0
Data.Dynamic module;Data.Dynamic module;Data.Dynamic module;0
circular definition;circular definition;circular definition;0
tan function;tan function;tan function;0
overlappinginstances 2nd;overlappinginstances 2nd;overlappinginstances 2nd;0
different argument;different argument;different argument;0
type parameter;type parameter;type parameter;48
monad transformer;monad transformer;monad transformers, monad transformer;0
callable object;callable object;callable object;0
synonyms (types);synonym ( type );synonyms (types);0
list traverse recursively;list traverse recursively;list traverse recursively;0
decoding;decoding;decoding;1
maybet monad transformer 2nd;maybet monad transformer 2nd;maybet monad transformer 2nd;0
byetstring module;byetstring module;byetstring module;0
numeral;numeral;numerals, numeral;1
scalar multiplication;scalar multiplication;scalar multiplication;0
enumeration notation;enumeration notation;enumeration notation;0
soap web service;soap web service;soap web services, soap web service;0
path;path;path;14
putstrln function 2nd 3rd;putstrln function 2nd 3rd;putstrln function 2nd 3rd;0
guide;guide;guide;0
regexcontex typeclass;regexcontex typeclass;regexcontex typeclass;0
unlifted function;unlifted function;unlifted functions, unlifted function;0
local functions/global variable;local functions/global variable;local functions/global variables, local functions/global variable;0
System.Directory library;System.Directory library;System.Directory library;0
accessories folder;accessory folder;accessories folder;0
infix function;infix function;infix functions, infix function;10
call graph function;call graph function;call graph function;0
unit;unit;unit;3
python 2nd 3rd;python 2nd 3rd;python 2nd 3rd;0
open source;open source;open source;0
scaffolding;scaffolding;scaffolding;0
prototype development;prototype development;prototype development;0
mode based testing;mode based testing;mode based testing;0
doc string;doc string;doc string;0
type;type;types, type;1220
calculator;calculator;calculators, calculator;5
splitat function;splitat function;splitat function;0
chained conditional statement;chained conditional statement;chained conditional statement;0
alternatives (value constructors);alternative ( value constructor );alternatives (value constructors);0
single test;single test;single test;0
outer function;outer function;outer function;0
foreignfunctioninterface;foreignfunctioninterface;foreignfunctioninterface;0
pretty printer;pretty printer;pretty printers, pretty printer;0
common directory;common directory;common directory;0
raw (p5) netpbm format;raw ( p5 ) netpbm format;raw (p5) netpbm format;0
join;join;join;15
root node;root node;root node;6
